"","caseId","justiceName","pitch_diff","petitioner_vote","justiceMQ","unpleasantDiff_totalWords","pleasantDiff_totalWords","docket","jquest_r","jquest_p","jwords_r","jwords_p"
"159","2004-032","SGBreyer",-0.613998521,1,-1.182,0.736278057,-4.578313351,"03-1039","30","49","981","1994"
"160","2004-032","AMKennedy",0.44630541,1,0.534,2.494684696,0.326009989,"03-1039","30","49","981","1994"
"161","2004-033","DHSouter",0.569890924,1,-1.698,-1.911670446,-2.351184368,"02-1672","71","58","2193","1538"
"162","2004-033","SDOConnor",-0.651838324,1,0.084,1.267800808,-2.825766563,"02-1672","71","58","2193","1538"
"163","2004-033","RBGinsburg",-0.723993111,1,-1.697,-0.327611923,0.100077391,"02-1672","71","58","2193","1538"
"164","2004-033","AScalia",0.337086287,0,2.725,1.350677967,0.930294156,"02-1672","71","58","2193","1538"
"165","2004-034","DHSouter",-0.157581845,1,-1.698,0.61199522,-1.784985781,"03-855","49","43","1783","1350"
"166","2004-034","RBGinsburg",0.099901702,1,-1.697,-2.90362668,-2.304824114,"03-855","49","43","1783","1350"
"167","2004-034","AScalia",0.221154294,1,2.725,2.124084949,1.313777924,"03-855","49","43","1783","1350"
"168","2004-034","SGBreyer",-0.337084929,1,-1.182,2.419574022,-2.74544239,"03-855","49","43","1783","1350"
"169","2004-034","AMKennedy",0.497472093,1,0.534,0.714285374,-1.150793552,"03-855","49","43","1783","1350"
"170","2004-034","SDOConnor",-0.433865064,1,0.084,1.184366226,-4.163227081,"03-855","49","43","1783","1350"
"171","2004-034","JPStevens",-1.960414492,0,-2.522,-9.090909004,-3.208556175,"03-855","49","43","1783","1350"
"172","2004-035","SGBreyer",-0.462357315,0,-1.182,1.167836428,2.393926859,"03-1160","61","47","1671","1629"
"173","2004-035","RBGinsburg",-1.382444494,0,-1.697,-1.779988289,-0.499531269,"03-1160","61","47","1671","1629"
"174","2004-035","JPStevens",0.885166632,0,-2.522,-0.637865067,-0.717868805,"03-1160","61","47","1671","1629"
"175","2004-035","SDOConnor",-0.895002599,0,0.084,4.494381905,2.247190952,"03-1160","61","47","1671","1629"
"176","2004-035","AScalia",-0.204604671,0,2.725,-1.301760674,-1.54351604,"03-1160","61","47","1671","1629"
"177","2004-036","RBGinsburg",-0.515448966,1,-1.697,-2.943840742,-2.038043499,"03-9046",NA,NA,NA,NA
"178","2004-036","SDOConnor",0.406605468,1,0.084,3.754266262,-10.17285061,"03-9046",NA,NA,NA,NA
"179","2004-036","AScalia",-0.344825122,1,2.725,1.972844362,0.919932723,"03-9046",NA,NA,NA,NA
"180","2004-036","AMKennedy",0.743318648,1,0.534,2.771039009,-0.827538013,"03-9046",NA,NA,NA,NA
"181","2004-036","DHSouter",1.200193602,1,-1.698,5,11.25,"03-9046",NA,NA,NA,NA
"182","2004-038","DHSouter",1.065318688,0,-1.698,-2.278679848,-1.109874368,"03-9685",NA,NA,NA,NA
"183","2004-038","AScalia",0.742387759,0,2.725,0.374228477,-4.891975403,"03-9685",NA,NA,NA,NA
"184","2004-038","JPStevens",-0.040415685,0,-2.522,-0.255857944,-2.127659559,"03-9685",NA,NA,NA,NA
"185","2004-038","AMKennedy",-1.059269634,0,0.534,0.687547684,-2.901069641,"03-9685",NA,NA,NA,NA
"186","2004-038","SDOConnor",-0.396056186,0,0.084,1.140202761,-0.422297239,"03-9685",NA,NA,NA,NA
"187","2004-039","SDOConnor",0.3366127,1,0.084,0.149417639,2.119861126,"03-1407","69","96","2217","2164"
"188","2004-039","AScalia",0.764449777,1,2.725,1.136363983,2.398990154,"03-1407","69","96","2217","2164"
"189","2004-039","SGBreyer",0.069058011,1,-1.182,-1.288726568,0.137017488,"03-1407","69","96","2217","2164"
"190","2004-039","DHSouter",0.924495158,1,-1.698,3.292068243,1.435135841,"03-1407","69","96","2217","2164"
"191","2004-039","RBGinsburg",0.927772231,1,-1.697,-2.057056904,0.045045137,"03-1407","69","96","2217","2164"
"192","2004-039","JPStevens",-0.907122412,1,-2.522,-0.71974802,2.699055195,"03-1407","69","96","2217","2164"
"193","2004-040","RBGinsburg",-1.513108517,1,-1.697,0.47273159,0.86200738,"03-932","62","62","2320","2015"
"194","2004-040","SGBreyer",-0.478043546,1,-1.182,0.394469738,2.192365885,"03-932","62","62","2320","2015"
"195","2004-040","DHSouter",-1.423914366,1,-1.698,-6.022521973,-1.420115948,"03-932","62","62","2320","2015"
"196","2004-040","AScalia",0.152420309,1,2.725,-4.026707649,0.526922941,"03-932","62","62","2320","2015"
"197","2004-041","JPStevens",0.708507614,0,-2.522,1.179380417,1.173347712,"03-725","73","47","2432","1117"
"198","2004-041","AScalia",-0.373139898,0,2.725,-2.35636282,-0.080723763,"03-725","73","47","2432","1117"
"199","2004-041","RBGinsburg",0.293066844,0,-1.697,-0.575235367,-1.427832365,"03-725","73","47","2432","1117"
"200","2004-042","JPStevens",-0.377995072,1,-2.522,0.979316711,0.798811197,"03-750","82","54","2747","1579"
"201","2004-042","SGBreyer",0.632929409,1,-1.182,-1.169212818,-0.881316185,"03-750","82","54","2747","1579"
"202","2004-042","RBGinsburg",-1.907594369,1,-1.697,0.804069042,2.051723719,"03-750","82","54","2747","1579"
"203","2004-042","AScalia",0.481067142,0,2.725,-2.998236179,0.282186985,"03-750","82","54","2747","1579"
"204","2004-043","SGBreyer",-1.109813182,0,-1.182,4.437553406,0.959218502,"03-9627",NA,NA,NA,NA
"205","2004-043","AScalia",0.38378961,0,2.725,1.535817385,2.395209551,"03-9627",NA,NA,NA,NA
"206","2004-043","DHSouter",0.796401618,0,-1.698,-4.65168047,0.592472076,"03-9627",NA,NA,NA,NA
"207","2004-043","AMKennedy",0.335994506,0,0.534,0.994781733,1.252446175,"03-9627",NA,NA,NA,NA
"208","2004-044","RBGinsburg",-0.772705491,1,-1.697,0.104359865,-1.988636374,"03-388","82","37","2019","1018"
"209","2004-044","SGBreyer",-1.525611408,1,-1.182,1.330248594,1.19529593,"03-388","82","37","2019","1018"
"210","2004-044","SDOConnor",-0.724359718,1,0.084,-3.629331589,1.261866808,"03-388","82","37","2019","1018"
"211","2004-045","RBGinsburg",0.090054293,0,-1.697,0.572447538,0.92905426,"03-1116","101","87","1866","2031"
"212","2004-045","RBGinsburg",0.090054293,0,-1.697,0.572447538,0.92905426,"03-1116","101","87","1866","2031"
"213","2004-045","RBGinsburg",0.090054293,0,-1.697,0.572447538,0.92905426,"03-1116","101","87","1866","2031"
"214","2004-045","SGBreyer",0.445568113,0,-1.182,3.20158124,-1.264822245,"03-1116","101","87","1866","2031"
"215","2004-045","SGBreyer",0.445568113,0,-1.182,3.20158124,-1.264822245,"03-1116","101","87","1866","2031"
"216","2004-045","SGBreyer",0.445568113,0,-1.182,3.20158124,-1.264822245,"03-1116","101","87","1866","2031"
"217","2004-045","AScalia",0.018187035,0,2.725,-1.757941246,-1.585432529,"03-1116","101","87","1866","2031"
"218","2004-045","AScalia",0.018187035,0,2.725,-1.757941246,-1.585432529,"03-1116","101","87","1866","2031"
"219","2004-045","AScalia",0.018187035,0,2.725,-1.757941246,-1.585432529,"03-1116","101","87","1866","2031"
"220","2004-045","AMKennedy",0.286758956,0,0.534,0.608457565,1.436213493,"03-1116","101","87","1866","2031"
"221","2004-045","AMKennedy",0.286758956,0,0.534,0.608457565,1.436213493,"03-1116","101","87","1866","2031"
"222","2004-045","AMKennedy",0.286758956,0,0.534,0.608457565,1.436213493,"03-1116","101","87","1866","2031"
"223","2004-045","DHSouter",-0.324719658,0,-1.698,0.381462574,0.231511831,"03-1116","101","87","1866","2031"
"224","2004-045","DHSouter",-0.324719658,0,-1.698,0.381462574,0.231511831,"03-1116","101","87","1866","2031"
"225","2004-045","DHSouter",-0.324719658,0,-1.698,0.381462574,0.231511831,"03-1116","101","87","1866","2031"
"226","2004-046","SGBreyer",-1.294937664,1,-1.182,-1.031510353,0.933151007,"04-163","42","35","1888","796"
"227","2004-046","AScalia",-0.985890762,1,2.725,2.027549982,-0.809988499,"04-163","42","35","1888","796"
"228","2004-046","RBGinsburg",-1.449212655,1,-1.697,-0.117980957,5.581617355,"04-163","42","35","1888","796"
"229","2004-046","SDOConnor",0.934360155,1,0.084,-5.191030025,1.245847225,"04-163","42","35","1888","796"
"230","2004-047","DHSouter",-0.82298482,0,-1.698,-3.594620466,1.048091412,"03-1164","142","91","1924","1883"
"231","2004-047","DHSouter",-0.82298482,0,-1.698,-3.594620466,1.048091412,"03-1164","142","91","1924","1883"
"232","2004-047","JPStevens",1.055312813,0,-2.522,2.717795849,3.667162895,"03-1164","142","91","1924","1883"
"233","2004-047","JPStevens",1.055312813,0,-2.522,2.717795849,3.667162895,"03-1164","142","91","1924","1883"
"234","2004-047","RBGinsburg",0.144658707,1,-1.697,-4.168094158,-1.687221766,"03-1164","142","91","1924","1883"
"235","2004-047","RBGinsburg",0.144658707,1,-1.697,-4.168094158,-1.687221766,"03-1164","142","91","1924","1883"
